delay_steps,mean_cost,median_cost,failure_rate,mean_cost_ci95_low,mean_cost_ci95_high,obs_noise_var,mi_bits
0,1.0463287134181438,1.039799033851068,0.0,1.0345115693000086,1.058145857536279,0.010000000000000002,4.983613129417996
2,175.15625489408947,175.4280336398352,0.0,174.41858556747317,175.89392422070577,0.012000000000000002,4.852240037483588
4,675.7506662586383,675.9790591946241,0.0,674.1122618732151,677.3890706440615,0.014000000000000002,4.7411879090130755
6,1507.5359072048198,1506.9679407311482,0.0,1502.996654818289,1512.0751595913505,0.016,4.645009423466309
8,2710.875249530218,2709.0449987500533,0.0,2701.6442099318897,2720.106289128546,0.018000000000000002,4.560190947407794
10,4335.186448914716,4328.215849047392,0.0,4317.9928481842335,4352.380049645198,0.020000000000000004,4.484333396597604
12,6413.5058846055135,6412.416953532054,0.0,6393.03964818984,6433.972121021187,0.022000000000000002,4.41572560189614
14,9094.687753590939,9086.661529386794,0.0,9068.027557463776,9121.347949718102,0.024,4.353104099300352
16,12364.787249431187,12337.305400603163,0.0,12311.536263160233,12418.03823570214,0.026000000000000002,4.295509400320626
18,16391.18528416539,16380.13635044268,0.0,16315.469642283366,16466.900926047412,0.028000000000000004,4.242195679388168
20,21336.908644550258,21322.282140505107,0.0,21231.449229358033,21442.368059742483,0.030000000000000002,4.192571694945512
22,27303.88611517564,27383.95852556153,0.0,27195.614335285623,27412.157895065655,0.032,4.14616081640102
24,34408.72993575251,34309.38864653105,0.0,34201.574385539614,34615.88548596541,0.034,4.102573190756979
26,43824.32489295972,43941.49198038248,0.0,43538.42420067343,44110.22558524601,0.036000000000000004,4.06148587698343
28,54627.27895179347,54742.781054328516,0.0,54207.54695864866,55047.01094493829,0.038000000000000006,4.022628358657961
30,69776.78671011288,69965.44690254044,0.0,69190.65570801936,70362.9177122064,0.04,3.985771776975386
32,89964.34466671236,90018.89822375841,0.0,88888.58943014953,91040.0999032752,0.042,3.950720793444552
34,306025.2085902214,143851.82874515932,0.4,240134.54496773385,371915.872212709,0.044000000000000004,3.9173073473171014
36,747602.5255801848,772298.000543472,1.0,730347.0101787198,764858.0409816498,0.046000000000000006,3.8853858018074083
38,780367.2877784717,792390.4947365324,1.0,765430.1360319719,795304.4395249715,0.048,3.8548291240852355
40,793359.3083206819,807340.3757530139,1.0,780892.6336760017,805825.9829653621,0.05,3.8255258455894645
42,795644.0986921567,801292.429006517,1.0,782058.2856583067,809229.9117260068,0.052000000000000005,3.7973776188697816
44,821928.8255410397,836218.3544741494,1.0,811409.0437365283,832448.6073455511,0.054,3.770297235765949
46,826823.3301375236,826520.9296817986,1.0,816558.4760371427,837088.1842379045,0.056,3.7442070061814516
48,821024.2938686179,824400.8270396945,1.0,807471.3082232268,834577.2795140089,0.058,3.719037421475606
50,810669.0277153207,824785.843262407,1.0,795417.4910171721,825920.5644134693,0.060000000000000005,3.6947260445421852
52,836006.7407586128,836007.6690501606,1.0,822536.4196344382,849477.0618827873,0.062000000000000006,3.6712165819493134
54,826776.9373724189,838614.5114760431,1.0,813293.6908979262,840260.1838469116,0.064,3.6484581034396446
56,831819.5992063215,853647.5316661053,1.0,816021.2895408132,847617.9088718299,0.066,3.626404381569224
58,833581.1403598064,842512.2148028052,1.0,820178.0022371631,846984.2784824496,0.068,3.60501332995532
60,828021.7728421938,850630.3181284536,1.0,813513.1301571234,842530.4155272642,0.07,3.58424652297459
62,831141.1747299246,844749.303773142,1.0,818373.766599308,843908.5828605413,0.07200000000000001,3.564068783138352
64,822643.2325174937,832237.5316373068,1.0,808974.0413002268,836312.4237347605,0.07400000000000001,3.5444478250146183
66,826251.4114014527,846623.8974293396,1.0,812650.8151983232,839852.0076045822,0.07600000000000001,3.525353946645328
68,832986.5455285958,849735.494872488,1.0,820978.3403566029,844994.7507005887,0.07800000000000001,3.506759761053752
70,814245.1865575741,844333.3313380886,1.0,796749.1513507821,831741.221764366,0.08000000000000002,3.488639961749958
72,820155.1714159427,840454.4449733972,1.0,804965.1307460859,835345.2120857995,0.08200000000000002,3.47097111719564
74,821556.786487914,829092.6628224725,1.0,810649.0695814266,832464.5033944015,0.08399999999999999,3.45373149003989
76,821488.1670731872,836922.4132528772,1.0,809388.166988886,833588.1671574884,0.086,3.436900877627613
78,815274.9339650176,837328.713262538,1.0,801056.427238429,829493.4406916061,0.088,3.420460470845461
80,825565.1383137178,841383.969889181,1.0,813382.8014030437,837747.4752243919,0.09,3.4043927288320224
82,819812.2555533084,831542.2032510398,1.0,807651.2580964089,831973.2530102079,0.092,3.388681267459644
84,819243.3322304903,837803.1809027873,1.0,806277.7292519718,832208.9352090087,0.094,3.3733107598103946
86,822392.2599191308,836858.2604542545,1.0,812279.5853490748,832504.9344891869,0.096,3.3582668471306962
88,823869.0466264747,831193.5418241987,1.0,816873.6065272113,830864.4867257382,0.098,3.3435360589679486
90,818719.2219145293,828882.6120907313,1.0,808973.328115037,828465.1157140217,0.1,3.3291057413758973
92,824455.9706939496,832211.2509035973,1.0,816566.8603672666,832345.0810206326,0.10200000000000001,3.3149639922298535
94,807058.5590434005,827923.8023705315,1.0,794004.3557091061,820112.7623776948,0.10400000000000001,3.30109960282323
96,812091.2911636147,821496.2452773489,1.0,802252.3081718498,821930.2741553796,0.10600000000000001,3.2875020050273767
98,808273.7940874492,823474.472420098,1.0,797460.5552445323,819087.0329303661,0.10800000000000001,3.2741612233906534
