delay,mi_steer_pooled,mi_pred_pooled,mi_pred_strat,mi_pred_strat_shuffle,mi_pred_strat_shift,strat_ci_lo,strat_ci_mid,strat_ci_hi,fail_rate
0,1.4945596228826968e-06,9.465784645307217,8.580403039404176,0.001881812907683688,0.08046204092902665,8.46474266888982,8.580403039404176,8.681966744028399,1.0
1,0.0026337151251365973,6.196584040663839e-06,0.0018760902133195334,0.0017359547854181822,0.0018645458763297095,0.0017008927843491922,0.0018760902133195334,0.0020205950933175217,0.0
2,0.5041043180910394,0.007913025200046537,0.00971262964007004,0.0018938484462021447,0.0019751526775609435,0.009186467206172805,0.00971262964007004,0.010194333192193497,0.0
3,0.9680417134745213,0.7999579491412588,1.1036365425898826,0.0017969103408855733,0.0037138278304094945,1.0575599500454778,1.1036365425898826,1.1577260137637921,1.0
4,1.0817928451158332,0.4170745421180139,1.3648481167492605,0.0019012103011215229,0.003309344492045484,1.3049332543302083,1.3648481167492605,1.417776951291674,1.0
5,0.5915071549799438,0.007082131377179411,0.7381436898451283,0.0018311920608544848,0.0034502220832728055,0.7024897052383035,0.7381436898451283,0.773063312474072,1.0
6,0.8622354856450946,0.45970491457009305,1.339697344078039,0.0018750266176336804,0.0035713406870273774,1.275028828597744,1.339697344078039,1.4000531650551604,1.0
7,0.5067397695917205,2.2390201236829133,2.407589862172173,0.001747818744603628,0.003224154229010562,2.3321077086571322,2.407589862172173,2.4830149967051294,1.0
8,1.0170735253413794,0.2727555617964659,0.8630653271871805,0.0019205003613248475,0.0034988503237510715,0.8190523057011556,0.8630653271871805,0.9026432317822563,1.0
9,0.7214925095711878,0.15384181518102066,0.6219609005188333,0.0017787785059680441,0.00379045707928207,0.5968273651958564,0.6219609005188333,0.644075978361581,1.0
10,1.0125009731986507,0.0004125462581252103,0.710205647515418,0.0018844318613288331,0.0036662421802721714,0.6784809057421651,0.710205647515418,0.745076004591021,1.0
11,0.7474401093094827,0.25528644850319626,0.9778535988694003,0.0017295959083796256,0.0030495458931583007,0.9332409303990397,0.9778535988694003,1.0214478855655766,1.0
12,0.5620248167268758,1.2888360169472837,1.7486471898067468,0.0018053026540166726,0.002956180840596505,1.6798686102305713,1.7486471898067468,1.8147920753233675,1.0
13,1.0397378678046154,1.8298525852312486,2.907811715667931,0.0017132960357038034,0.003914148263777043,2.8295836237854095,2.907811715667931,2.977788687060059,1.0
14,0.09857798060196994,5.519269877739115,5.228850797480587,0.001779873222065019,0.0044558973176642945,5.168184323185643,5.228850797480587,5.302241622627889,1.0
15,0.4159342771418591,2.785842788919419,2.6507446554534537,0.0018152017495266747,0.004213233140014161,2.57370250902384,2.6507446554534537,2.727740697009168,1.0
